pattern_id,name,permalink,published,free,price,currency,craft,pattern_categories,yarn_weight,yarn_weight_description,gauge,row_gauge,gauge_description,yardage,yardage_max,yardage_description,projects_count,favorites_count,queued_projects_count,difficulty_average,rating_average,rating_count,downloadable
803926,Hanstholm Sweater,hanstholm-sweater,,False,,,,null,,,,,,,,,,,,,,,
7394364,Back Yoke Sweater,back-yoke-sweater,,False,,,,null,,,,,,,,,,,,,,,
7299787,Wave Sweater,wave-sweater-4,,False,,,,null,,,,,,,,,,,,,,,
1080133,Zipper Sweater,zipper-sweater-2,,False,,,,null,,,,,,,,,,,,,,,
1342098,Blouse No. 1,blouse-no-1,,False,,,,null,,,,,,,,,,,,,,,
7495355,The Nineties,the-nineties,,False,,,,null,,,,,,,,,,,,,,,
7478239,Harvest Flower Sweater,harvest-flower-sweater,,False,,,,null,,,,,,,,,,,,,,,
7482661,Air Sweater,air-sweater-3,,False,,,,null,,,,,,,,,,,,,,,
7361391,Olga Jacket,olga-jacket,,False,,,,null,,,,,,,,,,,,,,,
1331627,Ingrid Sweater Man,ingrid-sweater-man,,False,,,,null,,,,,,,,,,,,,,,
7327070,Always 4-ever Unicorn Sweater,always-4-ever-unicorn-sweater,,False,,,,null,,,,,,,,,,,,,,,
7409662,Late Checkout Sweater,late-checkout-sweater,,False,,,,null,,,,,,,,,,,,,,,
7349096,Art Nouveau Sweater,art-nouveau-sweater,,False,,,,null,,,,,,,,,,,,,,,
7436210,Frankie Sweater Baby,frankie-sweater-baby,,False,,,,null,,,,,,,,,,,,,,,
1311624,Harlow Sweater V Neck,harlow-sweater-v-neck,,False,,,,null,,,,,,,,,,,,,,,
7284645,Flax DK,flax-dk,,True,,,,null,,,,,,,,,,,,,,,
7491061,Gwynver Sweater,gwynver-sweater,,False,,,,null,,,,,,,,,,,,,,,
1246768,Paul Klee Sweater,paul-klee-sweater,,False,,,,null,,,,,,,,,,,,,,,
7389884,Dagmar Zipper Sweater,dagmar-zipper-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497133,Boyfriend Sweater,boyfriend-sweater-23,,False,,,,null,,,,,,,,,,,,,,,
7438629,SABAI Sweater,sabai-sweater,,False,,,,null,,,,,,,,,,,,,,,
7339819,Maggie Cardigan,maggie-cardigan-3,,False,,,,null,,,,,,,,,,,,,,,
1340146,Clematis Sweater,clematis-sweater-2,,False,,,,null,,,,,,,,,,,,,,,
7498565,Woods Cardigan,woods-cardigan,,False,,,,null,,,,,,,,,,,,,,,
738121,Anker's Sweater - My size,ankers-sweater---my-size,,False,,,,null,,,,,,,,,,,,,,,
1009739,Aros Sweater,aros-sweater,,False,,,,null,,,,,,,,,,,,,,,
443533,Flax worsted,flax-worsted,,True,,,,null,,,,,,,,,,,,,,,
1285522,Lakes Pullover,lakes-pullover,,False,,,,null,,,,,,,,,,,,,,,
1325302,Melange Sweater Man,melange-sweater-man,,False,,,,null,,,,,,,,,,,,,,,
731318,Anker's Sweater,ankers-sweater,,False,,,,null,,,,,,,,,,,,,,,
7474969,Lucy Cardigan and Sweater,lucy-cardigan-and-sweater,,False,,,,null,,,,,,,,,,,,,,,
1276364,Robinia Sweater,robinia-sweater,,False,,,,null,,,,,,,,,,,,,,,
7380721,Roads Sweater,roads-sweater,,False,,,,null,,,,,,,,,,,,,,,
1335425,Snowfall Sweater Scarf,snowfall-sweater-scarf,,False,,,,null,,,,,,,,,,,,,,,
7382501,Eun Sweater Light,eun-sweater-light,,False,,,,null,,,,,,,,,,,,,,,
7495682,Sidewalk Sweater,sidewalk-sweater-4,,False,,,,null,,,,,,,,,,,,,,,
1033464,Terrazzo Sweater,terrazzo-sweater,,False,,,,null,,,,,,,,,,,,,,,
